title,link,location,experience,description,requirements,benefits,work_location_detail,working_time,deadline,salary_raw,currency_unit,skills,group,skills_str,seniority,salary_normalized,salary,skills_clean
Senior IOS Developer,https://www.topcv.vn/viec-lam/senior-ios-developer/1893297.html?ta_source=ITJobs_LinkDetail,TP. Hồ Chí Minh,4,"- Phân tích, thiết kế kiến trúc, luồng nghiệp vụ của ứng dụng di động dựa trên đặt hàng của Product Owner
- Nghiên cứu, phát triển các concept, module POC, chứng minh tính khả thi cho bài toán công nghệ cụ thể
- Phát triển ứng dụng IOS dựa trên đặt hàng của Product Owner
- Đánh giá, phân tích, nâng cấp và tối ưu mã nguồn ứng dụng.
- Liên tục nghiên cứu, cập nhật, ứng dụng công nghệ mới áp dụng trong các sản phẩm của công ty.
- Phối hợp với các team liên quan vận hành dự án theo quy trình.
- Tìm tòi, phát kiến ý tưởng, giải pháp cải thiện, cải tiến quy trình, nâng cao hiệu suất công việc
- Hướng dẫn, đào tạo, phát triển, nâng cao năng lực đội ngũ kỹ thuật","- Có kinh nghiệm lập trình IOS 4 năm trở lên với Swift - Am hiểu stack công nghệ của iOS (UIKit, Resource, Network Handling, Memory Management, Multi Thread, Dependency Injection) - Am hiểu kiến trúc phần mềm (MVP, MVVM, Clean Architect), có khả năng xây dựng, Refactor được kiến trúc - Áp dụng thành thạo Design Pattern - Có hiểu biết về Cloud technology, GA, Firebase là một lợi thế - Nắm vững quy trình phát triển dự án, vòng đời sản phẩm phần mềm - Có khả năng tự nghiên cứu, đọc hiểu tài liệu tiếng Anh chuyên ngành. - Có khả năng cập nhật các thuật ngữ công nghệ mới, kỹ năng search tốt - Đam mê, chủ động công việc, có kỹ năng làm việc nhóm, làm việc độc lập. - Đam mê phát triển sản phẩm. - Có kinh nghiệm lead và training member là lợi thế lớn","- Mức lương thỏa thuận hấp dẫn từ 30.000.000 đến 55.000.000
- Làm việc trong môi trường trẻ cùng các đồng nghiệp giỏi, có nhiều kinh nghiệm.
- Trải nghiệm dự án thách thức lớn
- Có kiến thức nền tảng để xây dựng sản phẩm khởi nghiệp trong tương lai
- Nghiên cứu và tiếp xúc với nhiều chuyên môn, chuyên gia ở các domain khác nhau (Photo, Video, AI, ML, Blockchain...)
- Xét tăng lương 2 lần/ năm.
- Thưởng định kỳ 2 lần/ năm, thưởng nóng và các phúc lợi hấp dẫn.
- Tham gia các hoạt động vui chơi giải trí, du lịch, team building, ăn uống cùng thành viên trong công ty.","- Hồ Chí Minh: số 3 Nguyễn Lương Bằng, Quận 7",Thứ 2 - Thứ 6 (từ 08:30 đến 18:00),2025-10-29,35 - 55 triệu,VND,['tiếng Anh'],Khác,tiếng Anh,senior,45000000,45000000.0,['tiếng anh']
Automation Tester,https://www.topcv.vn/viec-lam/automation-tester/1631109.html?ta_source=ITJobs_LinkDetail,Hà Nội,1,"Thiết kế, xây dựng và thực thi test script tự động cho web và mobile app.
Phối hợp với team phát triển để xác định yêu cầu kiểm thử và xây dựng kịch bản test.
Phân tích kết quả kiểm thử, xác định lỗi và phối hợp với đội ngũ phát triển để khắc phục.
Thực hiện báo cáo kết quả kiểm thử và đề xuất cải tiến chất lượng sản phẩm.
Tích hợp test automation vào quy trình CI/CD.
Nghiên cứu và áp dụng các công nghệ, công cụ kiểm thử mới để nâng cao chất lượng sản phẩm.","Tốt nghiệp đại học hoặc cao đẳng chuyên ngành Công nghệ thông tin, Khoa học máy tính hoặc các ngành liên quan. Có ít nhất 1 năm kinh nghiệm trong lĩnh vực kiểm thử, trong đó có 6 tháng trong lĩnh vực kiểm thử tự động Thành thạo Java và các framework kiểm thử như Selenium, Appium, TestNG, Allure Report. Nắm chắc design pattern POM, KDT trong Automation Test Hiểu biết về quy trình phát triển phần mềm và quy trình kiểm thử phần mềm. Có kinh nghiệm làm việc với Git, Jenkins, CI/CD là một lợi thế. Có tư duy logic, cẩn thận, tỉ mỉ và có khả năng làm việc nhóm tốt. Có khả năng đọc hiểu tài liệu tiếng Anh. Ưu tiên ứng viên có kinh nghiệm Manual Test","Được tham gia các dự án lớn, nhiều người dùng
Được làm việc ở môi trường chuyên nghiệp, đồng nghiệp thân thiện sẵn sàng hỗ trợ trong công việc để đạt kết quả tốt nhất.
Được nghỉ phép 12 ngày/năm, ngày lễ theo quy định của Nhà nước và 3 ngày nghỉ mát, đồng thời có hỗ trợ kinh phí nghỉ dưỡng.
Lương upto 25M","- Hà Nội: Toà nhà Epic- Ngõ 19, Duy Tân, Cầu Giấy, Cầu Giấy",Thứ 2 - Thứ 6 (từ 08:00 đến 17:30),2025-10-26,15 - 25 triệu,VND,"['Java', 'Git', 'Jenkins', 'CI/CD', 'tiếng Anh']",Khác,"Java, Git, Jenkins, CI/CD, tiếng Anh",mid,20000000,20000000.0,"['java', 'git', 'jenkins', 'ci', 'cd', 'tiếng anh']"
Senior Backend Developer,https://www.topcv.vn/viec-lam/senior-backend-developer-golang-prefer/1883361.html?ta_source=ITJobs_LinkDetail,TP. Hồ Chí Minh,4,"● Design, build, and maintain backend services with an emphasis on scalability,
reliability, and high performance.
● Develop and maintain RESTful/GraphQL APIs to support web and mobile platforms.
Collaborate closely with product managers, frontend engineers, and cross-functional
teams to deliver impactful solutions.
● Troubleshoot, optimize, and ensure smooth deployment of systems in production.
● Participate in architectural discussions, propose technical improvements, and
contribute to long-term system design.
● Write clean, testable, and maintainable code following best practices.","● 4+ years of experience in backend development using any modern language (e.g., Java, Node.js, Python, etc.) and willing to switch to Golang. ● Solid experience with relational and/or NoSQL databases, plus caching technologies (Redis, Memcached). ● Familiarity with cloud platforms (AWS, GCP, Azure) and containerization/ orchestration tools (Docker, Kubernetes). ● Strong understanding of system design, microservices, and distributed systems. ● Problem-solving mindset, proactive attitude, and ability to thrive in an agile environment. ● Effective communication skills and strong team collaboration.","14-months salary package, full salary during probation
Social insurance based on gross salary
MacBook & iPhone provided
Lunch & transportation allowances
Startup environment: dynamic, collaborative, growth-oriented
Leave & holidays: in accordance with state regulations
Team building, company trips & regular activities
Working time: Monday - Friday, 8:30 - 18:00 (flexible)
Working location: 3rd Floor, WORCQ2 Bulding. 21 Vo Truong Toan, An Khanh, HCMC","- Hồ Chí Minh: 21 Vo Truong Toan, Quận 2","Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)
nghỉ trưa từ 12h - 13h30",2025-10-20,30 - 50 triệu,VND,"['Java', 'Node.js', 'Python', 'Golang', 'Redis', 'AWS', 'GCP', 'Azure', 'Docker', 'Kubernetes', 'agile', 'communication']",Khác,"Java, Node.js, Python, Golang, Redis, AWS, GCP, Azure, Docker, Kubernetes, agile, communication",senior,40000000,40000000.0,"['java', 'javascript', 'python', 'golang', 'redis', 'aws', 'gcp', 'azure', 'docker', 'kubernetes', 'agile', 'communication']"
Lập Trình Viên IOS,https://www.topcv.vn/viec-lam/lap-trinh-vien-ios-mobile-apps-freelancer-remote/1896976.html?ta_source=ITJobs_LinkDetail,Hà Nội,1,"Phát triển và duy trì các ứng dụng iOS bằng Swift (hoặc SwiftUI).
Tham gia phân tích yêu cầu, thiết kế giải pháp và triển khai tính năng.
Tối ưu hóa hiệu suất, giao diện và trải nghiệm người dùng
Tích hợp API, Web Services vào ứng dụng.
Kiểm tra, fix bugs, tối ưu hiệu năng ứng dụng.","Kinh nghiệm 1 năm trở lên Có hiểu biết về lập trình hướng đối tượng (OOP), MVC, các Design Pattern trong iOS Có kinh nghiệm lập trình giao tiếp giữa mobile với server qua các giao thức TCP/IP, WebSocket, WebService và JSON/XML. Nắm vững các kĩ thuật về Autolayout, Core Data, Push Notification, IAP Biết sử dụng thành thạo Git","Lương 12-15 triệu/tháng
Thưởng hiệu suất dự án
Làm việc linh hoạt về thời gian, địa điểm.
Được công ty hỗ trợ tài liệu, thông tin kỹ thuật.
Có cơ hội hợp tác lâu dài nếu đạt kết quả tốt.",- Hà Nội,Không rõ,2025-11-01,12 - 15 triệu,VND,['Git'],Khác,Git,mid,13500000,13500000.0,['git']
Android,https://www.topcv.vn/viec-lam/nhan-vien-don-may-dung-may-android-he-thong-box-phone-farm-di-lam-ngay-duoc-dao-tao-neu-khong-biet-viec/1892527.html?ta_source=ITJobs_LinkDetail,TP. Hồ Chí Minh,0,"Bestmoon - Phân phối hệ thống Box Phone Farm, Phần mềm cà công cụ truyền thông cho doanh nghiệp, KOL, KOC. Bán phần mềm tự động hoá, giải pháp Cloudphone. Trại Phone farm tăng mắt xem.
Ví trí nhân viên ráp máy, bảo trì hệ thống box phone farm:
Nhận bo mạch điện thoại (không pin, không màn hình) từ bộ phận phần mềm (đã qua quá trình xử lý nạp ROM)
Gắn dây pin, nút nguồn, kiểm tra kỹ thuật, lắp ráp mạch điện thoại vào hộp Box Phone Farm và kiểm tra kết nối với máy tính. Kiểm tra chức năng (wifi/sóng/ROM/RAM/ hiển thị)
Kiểm tra vận hành hệ thống phone farm cho thuê
Báo cáo và bàn giao cho các bộ phận liên quan","Có laptop riêng (thành thạo sử dụng máy tính cơ bản, game, lướt web) Đam mê học hỏi, khám phá về điện thoại di động. Kỹ năng tìm kiếm thông tin và giải quyết vấn đề. kỹ năng giao tiếp tốt để tương tác với khách hàng. Kỹ năng phân tích và giải quyết vấn đề. Sự chính xác và cẩn thận.","Mức lương cạnh tranh, thỏa thuận theo năng lực, có thưởng KPI
Môi trường làm việc năng động, thân thiện, có cơ hội thăng tiến.
Các phúc lợi khác: Thưởng lễ, tết, du lịch hàng năm, teambuilding.","- Hồ Chí Minh: Hẻm 61 TX33, Quận 12","Ca 1: 8:00 - 18:00 (nghỉ giữa 1 tiếng)
Ca 2: 12:00 - 21:00 (nghỉ giữa ca 1 tiếng)
Ca 3: 10:00 - 8:00 (trực CSKH)",2025-10-29,7 - 9 triệu,VND,[],Khác,,mid,8000000,8000000.0,[]
Python Developer,https://www.topcv.vn/viec-lam/python-developer/1806597.html?ta_source=ITJobs_LinkDetail,Hà Nội,2,"Trao đổi/hỗ trợ khách hàng và các thành viên trong dự án về các vấn đề liên quan đến công việc
Báo cáo công việc cho Team dự án và các cấp Quản lý
Thiết kế và phát triển các dịch vụ backend sử dụng Python (Django/FastAPI/Flask).
Thiết kế kiến trúc hệ thống, cơ sở dữ liệu và RESTful API.
Tối ưu hóa hiệu năng, bảo mật, và khả năng mở rộng của hệ thống.
Tích hợp các dịch vụ Cloud/AI vào hệ thống
Viết unit test, tích hợp CI/CD, và đảm bảo chất lượng mã nguồn.
Hợp tác chặt chẽ với frontend, QA và các thành viên khác trong nhóm phát triển.
Review code, hỗ trợ đồng đội và chia sẻ kiến thức kỹ thuật.
Tham gia phân tích yêu cầu, đánh giá giải pháp kỹ thuật cùng team BA/PM.","+ Ít nhất 2 năm kinh nghiệm lập trình Python, đặc biệt với Django, FastAPI hoặc Flask. + Có kinh nghiệm xây dựng hệ thống web hoặc API theo kiến trúc Microservices. + Thành thạo trong việc làm việc với cơ sở dữ liệu: PostgreSQL, MySQL, MongoDB (tùy dự án). + Có kinh nghiệm sử dụng Docker, Git, CI/CD (GitLab CI, Jenkins…), nền tảng cloud (AWS/GCP/Azure). + Đã từng làm việc với LLM và có kinh nghiệm làm việc với Azure AI Service (OpenAI, Cognitive Services, Document Intelligence, ...) + Hiểu biết về Clean Architecture, Design Patterns, và best practices trong lập trình. + Ưu tiên có kinh nghiệm xử lý background jobs, caching (Redis), hoặc message queue (RabbitMQ/Kafka). Kỹ năng mềm: + Khả năng tư duy logic, phân tích và giải quyết vấn đề. + Khả năng làm việc độc lập và theo nhóm hiệu quả. + Có tinh thần trách nhiệm cao, cẩn thận và tỉ mỉ. + Ham học hỏi và cập nhật kiến thức mới. + Giao tiếp được bằng tiếng Anh hoặc tiếng Nhật","Chế độ đãi ngộ:
Lương thỏa thuận theo năng lực thực tế của ứng viên, Review performance: 1 lần/ năm.
Trợ cấp đi lại, trợ cấp học phí các chứng chỉ IT, trợ cấp OT, trợ cấp onsite khi đi tham gia dự án thuê ngoài;
Thưởng lễ tết (theo quy định và tình hình thực tế của công ty); lương tháng thứ 13, thưởng nhân viên xuất sắc quý, năm;
Chế độ chăm sóc nữ giới: Nghỉ sinh lý phụ nữ: 1 ngày/ tháng. Nghỉ sau sinh cho nhân viên nữ có con dưới 1 tuổi: 1h/ ngày.
Chế độ chăm sóc sức khỏe cho nhân viên:
Bảo hiểm y tế, bảo hiểm thất nghiệp, bảo hiểm xã hội theo quy định của Luật Lao động;
Khám sức khỏe định kỳ hàng năm tại các bệnh viện uy tín (ĐH Y, BV 103, Thu cúc, Medlatec,..v..v.)
Văn phòng làm việc tiện ích:
Miễn phí trà, cà phê tại khu vực ăn uống của công ty;
Máy pha cà phê tiện ích tại văn phòng;
Đồ ăn nhẹ cho team OT.
Các hoạt động sôi nổi:
Hoạt động team building kết nối đội nhóm hàng quý;
Party cuối thứ 6 hàng tuần;
Các CLB thể thao: bóng đá, cầu lông, bilac, game,..v..v; thể dục nhẹ nhàng sau giờ ngủ trưa;
Chương trình radio phát nhạc, confession theo yêu cầu;
Hoạt động du lịch thường niên và các sự kiện lớn trong công ty;
Seminar về kiến thức chuyên môn, ngoại ngữ và các kỹ năng khác.","- Hà Nội: Tòa Roman Plaza, Tố Hữu, Nam Từ Liêm",Thứ 2 - Thứ 6 (từ 08:00 đến 17:15),2025-12-31,Tới 30 triệu,VND,"['Python', 'Django', 'FastAPI', 'Flask', 'PostgreSQL', 'MySQL', 'MongoDB', 'Docker', 'Git', 'CI/CD', 'GitLab CI', 'Jenkins', 'AWS', 'GCP', 'Azure', 'Azure', 'AI', 'Redis', 'RabbitMQ', 'Kafka', 'tiếng Anh']",Khác,"Python, Django, FastAPI, Flask, PostgreSQL, MySQL, MongoDB, Docker, Git, CI/CD, GitLab CI, Jenkins, AWS, GCP, Azure, Azure, AI, Redis, RabbitMQ, Kafka, tiếng Anh",mid,30000000,30000000.0,"['python', 'django', 'fastapi', 'flask', 'postgresql', 'mysql', 'mongodb', 'docker', 'git', 'ci', 'cd', 'gitlab ci', 'jenkins', 'aws', 'gcp', 'azure', 'ai', 'redis', 'rabbitmq', 'kafka', 'tiếng anh']"
Senior .NET Developer,https://www.topcv.vn/viec-lam/senior-net-developer/1890277.html?ta_source=ITJobs_LinkDetail,Hà Nội,5,"- Thiết kế & kiến trúc hệ thống
Chịu trách nhiệm chính trong việc thiết kế kiến trúc và đưa ra các quyết định kỹ thuật quan trọng cho các dự án phát triển trên nền tảng .NET (bao gồm .NET Core, .NET 8+);
Thiết kế và triển khai các hệ thống phức tạp, có khả năng mở rộng, hiệu suất cao và bảo mật, thường xuyên áp dụng các mô hình như Microservices, Domain-Driven Design (DDD), CQRS.
- Phát triển & tối ưu
Xây dựng các tính năng cốt lõi, phức tạp của sản phẩm, đảm bảo chất lượng mã nguồn thông qua việc viết code sạch, hiệu quả và dễ bảo trì;
Phân tích, phát hiện và giải quyết các "" узкие места"" (bottlenecks) về hiệu năng và tối ưu hóa hệ thống ở tầng ứng dụng, cơ sở dữ liệu và kiến trúc.
- Nghiên cứu & cải tiến
Chủ động nghiên cứu, đánh giá và đề xuất áp dụng các công nghệ, công cụ và phương pháp mới để liên tục cải tiến sản phẩm và năng suất của đội ngũ;
Tham gia vào việc xây dựng và cải tiến quy trình CI/CD, tự động hóa các khâu kiểm thử và triển khai.
- Dẫn dắt & cố vấn
Đóng vai trò cố vấn kỹ thuật, hướng dẫn và hỗ trợ các thành viên trong nhóm (Middle, Junior) phát triển kỹ năng thông qua code review, pair programming và chia sẻ kiến thức;Thiết lập và duy trì các tiêu chuẩn về coding (coding standards), best practices và quy trình làm việc hiệu quả cho đội ngũ.","- Có từ 5 năm kinh nghiệm phát triển phần mềm chuyên nghiệp với C# và hệ sinh thái .NET. - Năng lực chuyên môn: Làm chủ ASP.NET Core và có kinh nghiệm trong việc xây dựng RESTful APIs, gRPC và các hệ thống phân tán. Hiểu biết và có kinh nghiệm áp dụng thực tế các nguyên lý SOLID, Clean Architecture, và các Design Patterns phức tạp; Có kinh nghiệm thực chiến với kiến trúc Microservices/ Clean Architecture, bao gồm các kỹ thuật và công cụ liên quan (API Gateway, Service Discovery, Message Broker). - Cơ sở dữ liệu & caching Thành thạo các hệ quản trị CSDL quan hệ (SQL Server, PostgreSQL) và có khả năng thiết kế, tối ưu database schema và câu lệnh truy vấn phức tạp. - DevOps & Cloud Có kinh nghiệm vững chắc với Docker; Có kinh nghiệm triển khai và vận hành ứng dụng trên các nền tảng đám mây như Azure hoặc AWS; Hiểu biết về CI/CD và có kinh nghiệm làm việc với các công cụ như Azure DevOps, Jenkins, GitLab CI. Kỹ năng mềm Kỹ năng giải quyết vấn đề, có khả năng phân tích các bài toán phức tạp và đưa ra giải pháp tối ưu; Kỹ năng giao tiếp, trình bày và phản biện tốt; Khả năng làm việc độc lập với trách nhiệm cao và dẫn dắt kỹ thuật cho đội nhóm.","Mức lương Gross hấp dẫn, tương xứng với năng lực (chưa bao gồm thưởng dự án, thưởng lễ tết, và các khoản thưởng khác...);
Thu nhập: 13 tháng lương/năm + thưởng dự án, thưởng Tết và các dịp lễ...;
Xét tăng lương 2 lần/năm theo năng lực và hiệu quả công việc;
Nghỉ thứ 7, Chủ nhật + Nghỉ phép theo Quy định của Pháp luật hiện hành;
Được tham gia bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp theo Quy định của Pháp luật hiện hành và quy định công ty;
Khám sức khỏe định kỳ 1 năm/1 lần;
Bảo hiểm chăm sóc sức khỏe 24/24 ( PVI Care);
Tham gia các Câu lạc bộ văn hóa, thể thao trong công ty: CLB Bóng đá, CLB Game...
Tham gia các hoạt động tập thể sôi động theo tháng/quý/năm: Nghỉ mát hàng năm, Teambuilding, Gala cuối năm...
Đặc biệt
Được hỗ trợ 100% chi phí tham gia các khóa học kỹ năng mềm, các khóa đào tạo chuyên môn, luyện thi các chứng chỉ uy tín trong và ngoài nước và khen thưởng khi đạt chứng chỉ chuyên môn;
Học tập không giới hạn qua tài khoản học trực tuyến Udemy;
Cơ hội làm việc và đào tạo tại Nhật Bản với các ứng viên có tiếng Nhật;
Làm việc trong môi trường chuyên nghiệp, được hỗ trợ phát huy khả năng, phát triển công việc tối đa.",- Hà Nội,Thứ 2 - Thứ 6 (từ 08:30 đến 17:30),2025-10-25,Tới 35 triệu,VND,"['RESTful', 'gRPC', 'SQL', 'PostgreSQL', 'Docker', 'Azure', 'AWS', 'CI/CD', 'Azure', 'Jenkins']",Khác,"RESTful, gRPC, SQL, PostgreSQL, Docker, Azure, AWS, CI/CD, Azure, Jenkins",senior,35000000,35000000.0,"['restful', 'grpc', 'sql', 'postgresql', 'docker', 'azure', 'aws', 'ci', 'cd', 'jenkins']"
Java Developer,https://www.topcv.vn/viec-lam/java-developer-du-an-bank-tu-3-nam-kinh-nghiem-luong-up-to-20m/1893100.html?ta_source=ITJobs_LinkDetail,Hà Nội,3,"Tham gia thiết kế, phát triển và triển khai các ứng dụng hiệu năng cao bằng Microservice phục vụ cho các nhu cầu kinh doanh của Ngân hàng như: khách hàng, tài khoản, vay vốn, tiết kiệm, chuyển tiền, thanh toán hóa đơn, ví điện tử, gửi tin nhắn...
Tham gia xây dựng, phát triển và tối ưu API
Tham gia vào các công đoạn: kiến trúc hệ thống, thiết kế chức năng, lập trình, unit test, viết tài liệu chức năng, tối ưu performance…
Tối ưu performance các xử lý giải thuật
Tham gia tìm hiểu các công nghệ, kỹ thuật mới.","Có kinh nghiệm từ 3 năm trong phát triển backend, API (Ưu tiên UV có kinh nghiệm làm các hệ thống liên quan đến Tài chính, ngân hàng) Thành thạo ngôn ngữ Java. Thành thạo Spring framework: spring core, spring security, spring boot. Thành thạo một trong trong các loại database: Oracle, PostgreSQL, MySQL Hiểu biết về chuẩn API (OpenAPI, Swagger) và mô hình trao đổi dữ liệu (JSON). Hiểu và ứng dụng được Kafka, Camunda. Có kiến thức và kinh nghiệm về các vấn đề kỹ thuật như đa luồng (multi-thread) Kỹ năng mềm: + Kỹ năng làm việc nhóm, giao tiếp linh hoạt, cẩn thận, tỉ mỉ, tư duy sáng tạo, làm việc logic + Có kỹ năng chuyên môn vững vàng, khả năng làm việc độc lập trong các dự án phức tạp và đóng góp vào việc thiết kế, phát triển các phần mềm, ứng dụng một cách hiệu quả mà không cần quá nhiều sự giám sát","1. Cơ hội phát triển bản thân
- Làm việc với đội ngũ kỹ sư, nhân viên năng động, giàu nhiệt huyết, đam mê, lý tưởng lớn.
- Được lắng nghe, tôn trọng ý kiến, quan điểm cá nhân để trao đổi thẳng thắn, chia sẻ cùng phát triển.
- Được lãnh đạo giàu kinh nghiệm đào tạo, định hướng con đường nghề nghiệp rõ ràng.
- Được cử tham gia các khóa đào tạo mới, đào tạo nâng cao phù hợp với năng lực và nguyện vọng.
- Được ghi nhận những đóng góp, nỗ lực kịp thời, chính xác.
2. Chế độ đãi ngộ
- Phụ cấp tăng ca, thưởng dự án, thưởng vượt chỉ tiêu, thưởng tháng lương thứ 13,...
- Được công ty thực hiện đầy đủ nghĩa vụ về bảo hiểm; xăng xe, ăn trưa, thai sản, con nhỏ, cưới hỏi, sinh nhật,...
- Định kỳ xét tăng lương theo năm hoặc đột xuất theo đánh giá.
- Được hỗ trợ các thiết bị, công cụ cần thiết cho thực hiện công việc.
- Trợ cấp chứng chỉ liên quan đến vị trí công việc.
3. Đời sống tinh thần phong phú
- Môi trường làm việc chuyên nghiệp, thân thiện, cởi mở. Các thành viên trong công ty gần gũi, gắn bó, quan tâm, giúp đỡ nhau cùng phát triển.
- Được tham gia các hoạt động teambuilding hàng tháng, du lịch hàng năm.
- Công ty luôn động viên và tạo điều kiện tốt nhất cho toàn thể nhân viên.
- Công ty tổ chức các buổi sinh nhật cho nhân viên hàng tháng, tổ chức thưởng và kỉ niệm những ngày lễ tết trong năm.","- Hà Nội: 21 Cát Linh, Đống Đa
- Hà Nội: Hoàng Quốc Việt, Cầu Giấy
- Hà Nội: 36 Giang Văn Minh, Ba Đình",Thứ 2 - Thứ 6 (từ 08:00 đến 17:30),2025-11-02,Tới 20 triệu,VND,"['Java', 'spring boot', 'PostgreSQL', 'MySQL', 'Kafka']",Khác,"Java, spring boot, PostgreSQL, MySQL, Kafka",mid,20000000,20000000.0,"['java', 'spring boot', 'postgresql', 'mysql', 'kafka']"
Senior Java Developer,https://www.topcv.vn/viec-lam/senior-java-developer-mang-fintech-thu-nhap-tu-30-45-trieu/1560857.html?ta_source=ITJobs_LinkDetail,Hà Nội,4,"Tham gia phát triển sản phẩm fintech Tikop. Cung cấp sản phẩm ứng dụng thanh toán và chuyển tiền với số lượng giao dịch rất lớn, đòi hỏi hiệu năng xử lý cao
Tham gia làm rõ nghiệp vụ, thiết kế giải pháp, phát triển nâng cấp hệ thống theo yêu cầu
Tham gia review thiết kế, review code, tối ưu hệ thống đáp ứng lưu lượng truy cập cao
Tham gia vào phát triển các công cụ nội bộ: hỗ trợ vận hành, báo cáo chỉ số, ...
Nghiên cứu áp dụng công nghệ mới nâng cao chất lượng, tối ưu nguồn lực phát triển","Có 4+ năm kinh nghiệm trong việc phát triển bằng ngôn ngữ Java. Ưu tiên có kinh nghiệm trong việc phát triển hệ thống thanh toán, fintech Tốt nghiệp cao đẳng/đại học chuyên ngành Công nghệ thông tin, Kỹ sư phần mềm. Thành thạo tư duy về thiết kế hướng đối tượng, cấu trúc dữ liệu và nắm vững một số design pattern thông dụng. Có kinh nghiệm làm việc với framework java như Spring boot, JPA hoặc Php như Laravel Thành thạo SQL, có kiến thức về các hệ quản trị cơ sở dữ liệu MySQL, Postgres, noSQL, có khả năng tối ưu CSDL Ưu tiên có hiểu biết về nghiệp vụ tài chính, ham học hỏi tìm tòi sáng tạo cái mới","Lương từ 30 - 45 triệu thỏa thuận theo năng lực; chế độ thưởng hấp dẫn;
Trợ cấp ăn trưa bằng coupon tại Canteen Công ty, vé gửi xe miễn phí;
Chế độ bảo hiểm và nghỉ phép theo luật lao động; khám sức khỏe định kỳ;
Chương trình đào tạo, huấn luyện liên tục; Cơ hội thăng tiến và phát triển sự nghiệp;
Du lịch khám phá các vùng đất mới, Teambuilding gắn kết đội ngũ;
CLB chăm lo sức khỏe tinh thần như yoga, bóng đá, cầu lông...
Môi trường làm việc trẻ trung, sáng tạo, năng động;
Thời gian làm việc: Thứ 2 - thứ 6 (9h00 - 18h00) và 02 sáng Thứ 7 Hybrid","- Hà Nội: Tầng 4, tòa nhà Tây Hà, số 19 Tố Hữu, Nam Từ Liêm","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 2 - Thứ 6 (từ 09:00 đến 18:00)",2025-11-03,30 - 45 triệu,VND,"['Java', 'java', 'Spring boot', 'Php', 'Laravel', 'SQL', 'MySQL']",Khác,"Java, java, Spring boot, Php, Laravel, SQL, MySQL",senior,37500000,37500000.0,"['java', 'spring boot', 'php', 'laravel', 'sql', 'mysql']"
Lập Trình Viên Backend,https://www.topcv.vn/viec-lam/lap-trinh-vien-backend-net-senior/1891935.html?ta_source=ITJobs_LinkDetail,Hà Nội,5,"Phát triển và tối ưu hệ thống backend trên nền tảng .NET Core, SQL Server.
Thiết kế API, microservices, áp dụng Redis/Kafka để tăng hiệu năng và khả năng mở rộng.
Xây dựng và triển khai chiến lược cache, tối ưu truy vấn CSDL.
Phân tích yêu cầu, quản lý tiến độ, phối hợp team như PM/BA kỹ thuật.
Tham gia thiết kế, tích hợp hệ thống trong lĩnh vực Giáo dục và Thanh toán; đảm bảo chuẩn bảo mật (PCI DSS).","Tốt nghiệp Đại học, Cao học chuyên ngành CNTT Tối thiểu 5 năm kinh nghiệm Backend .NET, thành thạo ASP.NET Core, SQL Server Hiểu biết sâu về microservices, cache, hệ thống phân tán. Có kỹ năng quản lý dự án, phân tích nghiệp vụ. Có kiến thức về cache: Redis, Memcache, mạng, CI/CD. Ưu tiên có kinh nghiệm EdTech/Fintech, từng tích hợp cổng thanh toán. Có khả năng giao tiếp cơ bản về kỹ thuật. Tính cẩn thận, trách nhiệm, tư duy hệ thống, giao tiếp tốt.","Mức lương thỏa thuận đảm bảo xứng đáng với năng lực của từng người, từ 25 đến 40 triệu đồng/tháng
Không giới hạn mức thưởng, chi trả thưởng dựa trên performance, hiệu quả công việc đạt được, thưởng KPI
Môi trường chuyên nghiệp, trẻ trung và năng động, phát huy khả năng sáng tạo của bản thân
Chế độ Bảo hiểm xã hội theo quy định Nhà nước và Bảo hiểm chăm sóc sức khỏe đặc biệt VTC Online Care
Nghỉ lễ, Tết theo quy định của Nhà nước
Phụ cấp ăn trưa và máy tính
Tham gia các hoạt động teambuilding, dã ngoại, du lịch
Thời gian làm việc: 8h30 – 17h30 từ Thứ Hai - Thứ Sáu.","- Hà Nội: Tòa nhà VTC Online, 18 Tam Trinh, Hai Bà Trưng",Thứ 2 - Thứ 6 (từ 08:30 đến 17:30),2025-10-26,25 - 40 triệu,VND,"['SQL', 'Redis']",Khác,"SQL, Redis",mid,32500000,32500000.0,"['sql', 'redis']"
